condition,kind,lpips,mae,name,psnr,seed,ssim
,comparison,0.0005076167558630307,0.00026618900473759926,A2-A1,0.09203329836350134,42,0.0005207490921020507
,comparison,-0.000190528217703104,-8.512931248070443e-05,A2-A1,-0.02902553170153036,43,-0.00017480130990346274
,comparison,-0.0003742113964011272,-0.00015816838079323742,A3-A2,-0.013322085927646242,42,-0.00012235212326049805
,comparison,0.00020971576000253358,-0.00016903960230128077,A3-A2,-0.0884659713396708,43,0.00015461726983388266
,comparison,-9.116983662048976e-05,-0.000392836199320704,A3-A0,-0.034414426124525464,42,0.0003816706339518229
,comparison,0.0008631101852903764,-6.907724018007382e-05,A3-A0,-0.0977876601632941,43,0.0006468545198440552
,comparison,0.10686733951916297,0.0046619295250141775,A3-bicubic,2.0648237424848106,42,0.040008495767911274
,comparison,0.10653855968577167,0.004441510575831166,A3-bicubic,1.8263154001590738,43,0.03986318914095561
remove,intervention,0.02304062242231642,0.004335271826851618,A0/seed42,1.5658139094404597,,0.018246037513017656
duplicate,intervention,0.006881337461527437,0.0005244074365994796,A0/seed42,0.27444304567307826,,0.0039008950193723043
shuffle_camera,intervention,0.0,0.0,A0/seed42,0.0,,0.0
remove,intervention,0.02327306765752534,0.00613418691452302,A0/seed43,1.389646819916782,,0.016681531568368275
duplicate,intervention,0.00700372833525762,0.0003728712347563284,A0/seed43,0.18849675874475502,,0.003763580818970998
shuffle_camera,intervention,0.0,0.0,A0/seed43,0.0,,0.0
remove,intervention,0.01940767262519027,0.0034088882747887006,A1/seed42,1.2449224284508178,,0.015814791868130364
duplicate,intervention,0.006941684653672079,0.00045022148306972886,A1/seed42,0.24295872936289353,,0.003947169085343679
shuffle_camera,intervention,0.0,0.0,A1/seed42,0.0,,0.0
remove,intervention,0.019184524791004756,0.004072981455851732,A1/seed43,1.2349269035659025,,0.015962621569633482
duplicate,intervention,0.007117423310410232,0.00040928412811733027,A1/seed43,0.22966251050124348,,0.003730662663777669
shuffle_camera,intervention,0.0,0.0,A1/seed43,0.0,,0.0
remove,intervention,0.027783174777869134,0.007963475661602439,A2/seed42,2.434844022272214,,0.021303690473238625
duplicate,intervention,0.006325186098304888,0.00046560311283454014,A2/seed42,0.2698136599339221,,0.0036754647890726725
shuffle_camera,intervention,0.0,0.0,A2/seed42,0.0,,0.0
remove,intervention,0.027398625509037326,0.009020702215581069,A2/seed43,2.2841239662078143,,0.02027867113550504
duplicate,intervention,0.0065771901359160745,0.0003649495381624647,A2/seed43,0.18082166792792775,,0.0033024842540423077
shuffle_camera,intervention,0.0,0.0,A2/seed43,0.0,,0.0
remove,intervention,0.028485382084424297,0.008558844644393401,A3/seed42,2.4890537305989007,,0.021746414403120678
duplicate,intervention,0.0067909147202347715,0.0005359633100675234,A3/seed42,0.26578996979339514,,0.0038171716034412387
shuffle_camera,intervention,2.739529979104797e-05,3.0312516577801664e-06,A3/seed42,0.00177636941515719,,-4.9710273742675785e-06
remove,intervention,0.029973496143550923,0.011281935017492136,A3/seed43,2.613629143171573,,0.02221502736210823
duplicate,intervention,0.006930148364820828,0.00046627388755824637,A3/seed43,0.22526392314263427,,0.003839112569888433
shuffle_camera,intervention,7.74106786896785e-06,3.158521048539502e-06,A3/seed43,0.0017590258808958185,,4.776318868001302e-06
